feature,mean_abs_shap
pl_trandep,3.351358
koi_model_snr,2.202103
pl_trandur,0.6258491
pl_rade,0.61118096
st_rad,0.39092004
koi_impact,0.29871413
koi_ror,0.2698527
koi_depth,0.2444343
st_teff,0.22198486
pl_orbper,0.21840253
koi_prad,0.19286051
koi_duration,0.09542708
pl_trandurh,0.08744927
pl_eqt,0.081280276
koi_period,0.080857076
st_pmra,0.08025107
pl_tranmid,0.07209084
koi_teq,0.06950965
koi_steff,0.06696721
st_pmdec,0.063499086
koi_insol,0.052501496
st_mass,0.052381743
st_logg,0.046224177
koi_srad,0.044978436
koi_smass,0.03846117
koi_srho,0.035590123
koi_slogg,0.020700883
pl_insol,0.00019158823
